id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,xG,xGA,xGD,xGD/90
223,GR,Dinamo Zagreb 2016-2017,6.0,0.0,0.0,6.0,0.0,15.0,-15.0,0.0,12.577,,,,
224,W,Real Madrid 2017-2018,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,75.39799999999988,33.0,20.0,13.1,1.01
225,F,Liverpool 2017-2018,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,49.960000000000015,33.0,13.2,19.7,1.52
226,SF,Bayern Munich 2017-2018,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,70.00000000000001,27.4,14.2,13.2,1.1
227,SF,Roma 2017-2018,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,48.587,19.1,18.2,0.9,0.07
228,QF,Barcelona 2017-2018,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73.861,13.7,8.9,4.8,0.48
229,QF,Manchester City 2017-2018,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,48.0499999999999,15.7,11.0,4.6,0.46
230,QF,Juventus 2017-2018,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,38.541,16.9,13.6,3.3,0.33
231,QF,Sevilla 2017-2018,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,38.512,16.1,13.9,2.2,0.22
232,R16,Tottenham 2017-2018,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,69.45399999999991,13.1,12.6,0.5,0.06
233,R16,Manchester Utd 2017-2018,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,74.467,18.0,8.2,9.8,1.23
234,R16,Paris S-G 2017-2018,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,46.38199999999999,17.2,9.5,7.7,0.96
235,R16,Basel 2017-2018,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,34.85399999999991,10.4,10.7,-0.3,-0.04
236,R16,Shakhtar 2017-2018,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,33.652,9.9,13.7,-3.8,-0.48
237,R16,Beşiktaş 2017-2018,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,37.44800000000001,8.6,15.1,-6.5,-0.81
238,R16,Chelsea 2017-2018,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,40.218,15.5,7.7,7.8,0.97
239,R16,Porto 2017-2018,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,43.5679999999999,10.9,11.2,-0.3,-0.04
240,GR,CSKA Moscow 2017-2018,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,28.259000000000004,5.7,12.9,-7.2,-1.2
241,GR,Atlético Madrid 2017-2018,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,57.595999999999904,11.3,6.9,4.4,0.74
242,GR,RB Leipzig 2017-2018,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,41.374,9.6,7.7,2.0,0.33
243,GR,Sporting CP 2017-2018,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,46.515,7.3,7.1,0.2,0.04
